ID_USER,genero,monto,fecha,hora,dispositivo,establecimiento,ciudad,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,dcto,cashback,fraude
0,F,6083456335,21/01/2020,20,{'model': 2020; 'device_score': 3; 'os': 'ANDROID'},Super,Merida,Fisica,71000,51,Aceptada,FALSE,6083456335,5475110702,FALSE
0,F,8871924289,15/01/2020,7,{'model': 2020; 'device_score': 1; 'os': 'ANDROID'},N/A,Merida,Virtual,71000,51,Aceptada,FALSE,0,1774384858,FALSE
1,F,7900376533,17/01/2020,11,{'model': 2020; 'device_score': 1; 'os': '},,Guadalajara,Virtual,94000,56,En proceso,FALSE,0,1580075307,FALSE
1,F,7670053873,5/1/2020,11,{'model': 2020; 'device_score': 3; 'os': 'WEB'},MPago,Guadalajara,Fisica,94000,56,Aceptada,FALSE,0,7670053873,FALSE
1,F,2541710526,30/01/2020,10,{'model': 2020; 'device_score': 3; 'os': '%%'},,Guadalajara,Fisica,94000,56,Aceptada,FALSE,0,2541710526,FALSE
1,F,3700374724,27/01/2020,3,{'model': 2020; 'device_score': 2; 'os': '%%'},N/A,Guadalajara,Fisica,94000,56,Rechazada,FALSE,0,370037472,FALSE
1,F,3345160168,6/1/2020,2,{'model': 2020; 'device_score': 1; 'os': '%%'},Abarrotes,Guadalajara,Fisica,94000,56,Aceptada,FALSE,3345160168,3010644152,FALSE
1,F,3222644048,11/1/2020,13,{'model': 2020; 'device_score': 4; 'os': '%%'},MPago,Guadalajara,Fisica,94000,56,Aceptada,FALSE,0,3222644048,FALSE
1,F,9117978036,19/01/2020,3,{'model': 2020; 'device_score': 3; 'os': '},Abarrotes,Guadalajara,Virtual,94000,56,Aceptada,FALSE,9117978036,1641236046,FALSE
2,F,1600951872,8/1/2020,2,{'model': 2020; 'device_score': 3; 'os': 'WEB'},,Toluca,Fisica,55000,57,Aceptada,FALSE,1600951872,1440856685,FALSE
2,F,6074276394,18/01/2020,10,{'model': 2020; 'device_score': 1; 'os': 'ANDROID'},,Toluca,Fisica,55000,57,Aceptada,FALSE,0,607427639,FALSE
2,F,5175417181,7/1/2020,14,{'model': 2020; 'device_score': 2; 'os': 'WEB'},Farmacia,Toluca,Fisica,55000,57,Aceptada,FALSE,5175417181,4657875463,FALSE
2,F,4369502657,30/01/2020,6,{'model': 2020; 'device_score': 1; 'os': '%%'},MPago,Toluca,Virtual,55000,57,En proceso,FALSE,8739005313,699120425,FALSE
2,F,4393063117,26/01/2020,16,{'model': 2020; 'device_score': 5; 'os': 'ANDROID'},MPago,Toluca,Fisica,55000,57,Aceptada,FALSE,0,4393063117,FALSE
2,F,599014183,30/01/2020,22,{'model': 2020; 'device_score': 5; 'os': 'WEB'},Super,Toluca,Fisica,55000,57,Aceptada,FALSE,1198028366,4792113464,FALSE
2,F,5762429866,4/1/2020,8,{'model': 2020; 'device_score': 2; 'os': 'ANDROID'},N/A,Toluca,Fisica,55000,57,Aceptada,FALSE,0,5762429866,FALSE
3,F,4153643119,26/01/2020,19,{'model': 2020; 'device_score': 2; 'os': 'ANDROID'},Super,Toluca,Fisica,62000,34,Aceptada,FALSE,0,4153643119,FALSE
3,F,6260783621,25/01/2020,12,{'model': 2020; 'device_score': 3; 'os': 'ANDROID'},Farmacia,Toluca,Fisica,62000,34,Aceptada,FALSE,0,626078362,FALSE
4,--,2771765241,27/01/2020,6,{'model': 2020; 'device_score': 2; 'os': 'WEB'},Restaurante,Merida,Fisica,83000,37,Aceptada,FALSE,5543530481,2217412193,FALSE
